SL,A1,A2,A3,Eye
300,1773,8754,3320,6.184
265,1580,5151,2019,5.916
260,713,4354,1794,5.052
265,787,5905,2157,5.486
280,1701,5832,2441,5.279
220,355,3096,1083,4.651
255,778,4864,1813,4.928
305,1483,10080,3397,6.565
73,8,25,11,1.027
56,4,8,4,0.567
118,39,210,118,2.501
